resource,properResName,scientificName
122614003,     Brown rockfish [other gear],Sebastes auriculatus 
122616000,    Dusky rockfish,Sebastes ciliatus 
122616001,     Dusky rockfish [CF retention],Sebastes ciliatus 
122616002,     Dusky rockfish [rod and reel],Sebastes ciliatus 
122616003,     Dusky rockfish [other gear],Sebastes ciliatus 
122618000,    Copper rockfish,Sebastes caurinus 
122618001,     Copper rockfish [CF retention],Sebastes caurinus 
122618002,     Copper rockfish [rod and reel],Sebastes caurinus 
122618003,     Copper rockfish [other gear],Sebastes caurinus 
122620000,    Emperor rockfish,Adelosebastes latens 
122620001,     Emperor rockfish [CF retention],Adelosebastes latens 
122620002,     Emperor rockfish [rod and reel],Adelosebastes latens 
122620003,     Emperor rockfish [other gear],Adelosebastes latens 
122622000,    Longspine thornyhead,Sebastolobus altivelis 
122622001,     Longspine thornyhead [CF retention],Sebastolobus altivelis 
122622002,     Longspine thornyhead [rod and reel],Sebastolobus altivelis 
122622003,     Longspine thornyhead [other gear],Sebastolobus altivelis 
122624000,    Shortspine thornyhead,Sebastolobus alascanus 
122624001,     Shortspine thornyhead [CF retention],Sebastolobus alascanus 
122624002,     Shortspine thornyhead [rod and reel],Sebastolobus alascanus 
122624003,     Shortspine thornyhead [other gear],Sebastolobus alascanus 
122626000,    Broadfin thornyhead,Sebastolobus macrochir 
122626001,     Broadfin thornyhead [CF retention],Sebastolobus macrochir 
122626002,     Broadfin thornyhead [rod and reel],Sebastolobus macrochir 
122626003,     Broadfin thornyhead [other gear],Sebastolobus macrochir 
122628000,    Rosethorn rockfish,Sebastes helvomaculatus 
122628001,     Rosethorn rockfish [CF retention],Sebastes helvomaculatus 
122628002,     Rosethorn rockfish [rod and reel],Sebastes helvomaculatus 
122628003,     Rosethorn rockfish [other gear],Sebastes helvomaculatus 
122630000,    Tiger rockfish,Sebastes nigrocinctus 
122630001,     Tiger rockfish [CF retention],Sebastes nigrocinctus 
122630002,     Tiger rockfish [rod and reel],Sebastes nigrocinctus 
122630003,     Tiger rockfish [other gear],Sebastes nigrocinctus 
122632000,    Redbanded rockfish,Sebastes babcocki 
122632001,     Redbanded rockfish [CF retention],Sebastes babcocki 
122632002,     Redbanded rockfish [rod and reel],Sebastes babcocki 
122632003,     Redbanded rockfish [other gear],Sebastes babcocki 
122634000,    China rockfish,Sebastes nebulosus 
122634001,     China rockfish [CF retention],Sebastes nebulosus 
122634002,     China rockfish [rod and reel],Sebastes nebulosus 
122634003,     China rockfish [other gear],Sebastes nebulosus 
122636000,    Gray rockfish,Sebastes glaucus 
122636001,     Gray rockfish [CF retention],Sebastes glaucus 
122636002,     Gray rockfish [rod and reel],Sebastes glaucus 
122636003,     Gray rockfish [other gear],Sebastes glaucus 
122638000,    Widow rockfish,Sebastes entomelas 
122638001,     Widow rockfish [CF retention],Sebastes entomelas 
122638002,     Widow rockfish [rod and reel],Sebastes entomelas 
122638003,     Widow rockfish [other gear],Sebastes entomelas 
122640000,    Yellowtail rockfish,Sebastes flavidus 
122640001,     Yellowtail rockfish [CF retention],Sebastes flavidus 
122640002,     Yellowtail rockfish [rod and reel],Sebastes flavidus 
122640003,     Yellowtail rockfish [other gear],Sebastes flavidus 
122642000,    Blue rockfish (nonresident),Sebastes mystinus 
122642001,     Blue rockfish (nonresident) [CF retention],Sebastes mystinus 
122642002,     Blue rockfish (nonresident) [rod and reel],Sebastes mystinus 
122642003,     Blue rockfish (nonresident) [other gear],Sebastes mystinus 
122644000,    Shortbelly rockfish (nonresident),Sebastes jordani 
122644001,     Shortbelly rockfish (nonresident) [CF retention],Sebastes jordani 
122644002,     Shortbelly rockfish (nonresident) [rod and reel],Sebastes jordani 
122644003,     Shortbelly rockfish (nonresident) [other gear],Sebastes jordani 
122646000,    Northern rockfish,Sebastes polyspinis 
122646001,     Northern rockfish [CF retention],Sebastes polyspinis 
122646002,     Northern rockfish [rod and reel],Sebastes polyspinis 
122646003,     Northern rockfish [other gear],Sebastes polyspinis 
122648000,    Boccaccio rockfish,Sebastes paucispinis 
122648001,     Boccaccio rockfish [CF retention],Sebastes paucispinis 
122648002,     Boccaccio rockfish [rod and reel],Sebastes paucispinis 
122648003,     Boccaccio rockfish [other gear],Sebastes paucispinis 
122650000,    Chilipepper rockfish,Sebastes goodei 
122650001,     Chilipepper rockfish [CF retention],Sebastes goodei 
122650002,     Chilipepper rockfish [rod and reel],Sebastes goodei 
122650003,     Chilipepper rockfish [other gear],Sebastes goodei 
122652000,    Greenstriped rockfish,Sebastes elongatus 
122652001,     Greenstriped rockfish [CF retention],Sebastes elongatus 
122652002,     Greenstriped rockfish [rod and reel],Sebastes elongatus 
122652003,     Greenstriped rockfish [other gear],Sebastes elongatus 
122654000,    Harlequin rockfish,Sebastes variegatus 
122654001,     Harlequin rockfish [CF retention],Sebastes variegatus 
122654002,     Harlequin rockfish [rod and reel],Sebastes variegatus 
122654003,     Harlequin rockfish [other gear],Sebastes variegatus 
122656000,    Puget Sound rockfish,Sebastes emphaeus 
122656001,     Puget Sound rockfish [CF retention],Sebastes emphaeus 
122656002,     Puget Sound rockfish [rod and reel],Sebastes emphaeus 
122656003,     Puget Sound rockfish [other gear],Sebastes emphaeus 
122658000,    Pygmy rockfish,Sebastes wilsoni 
122658001,     Pygmy rockfish [CF retention],Sebastes wilsoni 
122658002,     Pygmy rockfish [rod and reel],Sebastes wilsoni 
122658003,     Pygmy rockfish [other gear],Sebastes wilsoni 
122660000,    Canary rockfish,Sebastes pinniger 
122660001,     Canary rockfish [CF retention],Sebastes pinniger 
122660002,     Canary rockfish [rod and reel],Sebastes pinniger 
122660003,     Canary rockfish [other gear],Sebastes pinniger 
122662000,    Vermilion rockfish,Sebastes miniatus 
122662001,     Vermilion rockfish [CF retention],Sebastes miniatus 
122662002,     Vermilion rockfish [rod and reel],Sebastes miniatus 
122662003,     Vermilion rockfish [other gear],Sebastes miniatus 
122664000,    Redstripe rockfish,Sebastes proriger 
122664001,     Redstripe rockfish [CF retention],Sebastes proriger 
122664002,     Redstripe rockfish [rod and reel],Sebastes proriger 
122664003,     Redstripe rockfish [other gear],Sebastes proriger 
122666000,    Pacific ocean perch,Sebastes alutus 
122666001,     Pacific ocean perch [CF retention],Sebastes alutus 
122666002,     Pacific ocean perch [rod and reel],Sebastes alutus 
122666003,     Pacific ocean perch [other gear],Sebastes alutus 
122668000,    Yellowmouth rockfish,Sebastes reedi 
122668001,     Yellowmouth rockfish [CF retention],Sebastes reedi 
122668002,     Yellowmouth rockfish [rod and reel],Sebastes reedi 
122668003,     Yellowmouth rockfish [other gear],Sebastes reedi 
122670000,    Darkblotched rockfish,Sebastes crameri 
122670001,     Darkblotched rockfish [CF retention],Sebastes crameri 
122670002,     Darkblotched rockfish [rod and reel],Sebastes crameri 
122670003,     Darkblotched rockfish [other gear],Sebastes crameri 
