communty,commname
962,Coastal District Total (Yukon) 
963,"Alaska, Yukon River Total "
964,Lower Yukon River Total 
965,District 1 Subtotal (Yukon) 
966,District 2 Subtotal (Yukon) 
967,District 3 Subtotal (Yukon) 
968,Upper Yukon River Total 
969,District 4 Subtotal (Yukon) 
970,District 4 Yukon River 
971,Koyukuk River 
972,District 5 Subtotal (Yukon) 
973,District 5 Yukon River 
974,"Fairbanks NSB, Yukon "
975,"Other, Yukon "
976,Chandlar / Black Rivers (Yukon) 
977,District 6 Tanana River 
978,"Fairbanks NSB, Tanana "
979,"Other, Tanana "
980,Vinasale 
981,Qala
982,Mauneluk River
983,Pah River
984,Takshak
999,Unknown
1001,Non-community group (network source)
